#run	VA	VD	Art	Driftgap
372	500	50	ped	4.5
373	500	50	phy	4.5
374	500	125	ped	4.5
376	500	125	phy	4.5
377	500	200	ped	4.5
378	500	200	phy	4.5
379	500	275	ped	4.5
380	500	275	phy	4.5
381	500	350	ped	4.5
382	500	350	phy	4.5
383	525	50	ped	4.5
384	525	50	phy	4.5
386	525	125	ped	4.5
387	525	125	phy	4.5
388	525	200	ped	4.5
389	525	200	phy	4.5
390	525	275	ped	4.5
391	525	275	phy	4.5
392	525	350	ped	4.5
393	525	350	phy	4.5
394	550	50	ped	4.5
395	550	50	phy	4.5
396	550	125	ped	4.5
397	550	125	phy	4.5
398	550	200	ped	4.5
399	550	200	phy	4.5
400	550	275	ped	4.5
401	550	275	phy	4.5
406	550	350	ped	4.5
407	550	350	phy	4.5
410	500	172	ped	15.5
411	500	172	phy	15.5
412	500	430	ped	15.5
413	500	430	phy	15.5
414	500	688	ped	15.5
415	500	688	phy	15.5
416	500	947	ped	15.5
417	500	947	phy	15.5
418	500	1205	ped	15.5
419	500	1205	phy	15.5
421	525	172	ped	15.5
424	525	172	phy	15.5
425	525	430	ped	15.5
426	525	430	phy	15.5
427	525	688	ped	15.5
428	525	688	phy	15.5
429	525	947	ped	15.5
430	525	947	phy	15.5
431	525	1205	ped	15.5
432	525	1205	phy	15.5
433	550	172	ped	15.5
434	550	172	phy	15.5
435	550	430	ped	15.5
442	550	430	phy	15.5
443	550	688	ped	15.5
445	550	688	phy	15.5
447	550	947	ped	15.5
450	550	947	phy	15.5
451	500	117	ped	10.5
453	500	117	phy	10.5
454	500	291	ped	10.5
455	500	291	phy	10.5
456	500	467	ped	10.5
457	500	467	phy	10.5
458	500	642	ped	10.5
459	500	642	phy	10.5
460	500	817	ped	10.5
461	500	817	phy	10.5
462	525	117	ped	10.5
463	525	117	phy	10.5
464	525	291	ped	10.5
465	525	291	phy	10.5
466	525	467	ped	10.5
467	525	467	phy	10.5
468	525	642	ped	10.5
469	525	642	phy	10.5
471	525	817	ped	10.5
472	525	817	phy	10.5
474	550	117	ped	10.5
475	550	117	phy	10.5
476	550	291	ped	10.5
477	550	291	phy	10.5
479	550	467	ped	10.5
480	550	467	phy	10.5
481	550	642	ped	10.5
482	550	642	phy	10.5
483	550	817	ped	10.5
484	550	817	phy	10.5
485	500	89	ped	8.0
487	500	89	phy	8.0
489	500	222	ped	8.0
490	500	222	phy	8.0
491	500	355	ped	8.0
492	500	355	phy	8.0
493	500	488	ped	8.0
494	500	488	phy	8.0
495	500	622	ped	8.0
496	500	622	phy	8.0
504	525	89	ped	8.0
505	525	89	phy	8.0
506	525	222	ped	8.0
507	525	222	phy	8.0
508	525	355	ped	8.0
509	525	355	phy	8.0
510	525	488	ped	8.0
511	525	488	phy	8.0
512	525	622	ped	8.0
513	525	622	phy	8.0
514	550	89	ped	8.0
515	550	89	phy	8.0
517	550	222	ped	8.0
518	550	222	phy	8.0
519	550	355	ped	8.0
520	550	355	phy	8.0
521	550	488	ped	8.0
522	550	488	phy	8.0
523	550	622	ped	8.0
524	550	622	phy	8.0
